Data a almacenar [x,y]:
340.775,2166.867
306.460,2171.986
271.945,2175.569
239.125,2183.444
205.344,2188.889
168.636,2188.512
135.994,2194.039
100.203,2198.717
66.067,2201.759
31.908,2207.519
-2.413,2212.748
-36.261,2215.953
-70.765,2217.121
-106.121,2221.967
-141.886,2229.990
-178.422,2235.892
-213.891,2240.563
-249.157,2246.726
-285.494,2253.991
-321.236,2254.478
-358.224,2257.757
-396.215,2265.107
-433.298,2268.743
-473.161,2274.812
-510.085,2277.323
-549.353,2280.001
-587.469,2284.421
-626.406,2287.793
-667.260,2293.923
-708.464,2299.329
-748.361,2303.220
-790.772,2308.834
-835.201,2320.257
-878.600,2324.764
-921.796,2327.079
-965.003,2333.322
-1012.752,2344.893
-1061.681,2351.706
-1103.525,2351.433
-1150.111,2351.564
-1199.746,2357.812
-1249.862,2363.072
.000,.000
-1187.108,2080.959
-1203.331,2030.170
-1207.811,1966.150
-1225.738,1926.342
-1257.595,1910.189
.000,.000
.000,.000
.000,.000
.000,.000
.000,.000
.000,.000
.000,.000
-337.122,362.113
-337.360,350.875
-337.027,340.724
-339.063,333.014
-341.376,323.777
-346.005,315.496
-349.780,309.800
-352.587,304.311
-357.157,297.374
-362.010,291.844
-369.259,287.525
-371.735,280.599
-373.809,273.618
-380.979,268.782
.000,.000
.000,.000
.000,.000
.000,.000
.000,.000
.000,.000
.000,.000
-432.109,231.573
-439.037,225.362
-443.929,221.788
-449.027,214.776
-453.333,209.139
-459.010,200.775
-462.783,196.440
-467.068,188.708
-468.864,181.448
.000,.000
-451.295,156.771
-453.121,149.828
-454.943,140.855
-456.324,135.440
-458.998,126.079
-455.432,119.108
-449.205,107.974
-447.410,101.367
-450.411,93.429
-454.320,87.925
-458.898,81.045
-463.578,74.331
-466.391,67.493
-467.746,59.375
-469.096,54.483
-468.394,44.456
-461.612,35.823
-451.913,27.516
-448.511,20.930
-451.311,13.049
-456.182,7.838
-463.249,-.757
-468.187,-7.661
.000,.000
.000,.000
.000,.000
.000,.000
.000,.000
-264.260,-39.862
-260.227,-47.349
-255.277,-49.331
-247.614,-56.597
-240.465,-62.678
-237.721,-63.280
-237.186,-66.195
-237.422,-69.905
-238.159,-73.523
.000,.000
.000,.000
.000,.000
.000,.000
.000,.000
.000,.000
.000,.000
.000,.000
-445.197,-176.069
-436.070,-182.579
-431.043,-186.724
-424.808,-194.576
-421.220,-200.488
-418.054,-205.312
-414.282,-213.369
-411.876,-221.164
-414.351,-228.645
-418.684,-240.815
-424.959,-251.883
.000,.000
-468.730,-293.428
-459.531,-300.386
-448.552,-303.799
-438.330,-306.743
-430.098,-311.410
-425.005,-317.908
-420.892,-324.972
-416.132,-333.050
.000,.000
.000,.000
.000,.000
.000,.000
.000,.000
.000,.000
.000,.000
.000,.000
.000,.000
.000,.000
.000,.000
-666.601,-748.095
-647.090,-748.918
-626.485,-750.348
-606.223,-751.132
-588.059,-753.104
-568.332,-752.493
-549.370,-752.253
-532.827,-753.061
-513.882,-752.529
-496.753,-753.187
-480.255,-756.123
-465.458,-757.703
-449.829,-757.505
-433.900,-758.687
-418.207,-760.323
-402.321,-760.656
-387.273,-760.579
-371.496,-760.626
-355.516,-760.781
-342.640,-761.186
-328.437,-763.885
-315.454,-763.931
-301.956,-765.336
-285.789,-765.651
-272.676,-764.051
-260.268,-764.670
-245.375,-765.116
-233.699,-765.888
-220.862,-767.867
-207.147,-768.056
-193.758,-768.191
-182.310,-770.474
-167.514,-771.523
-154.923,-770.070
-143.438,-769.240
-130.288,-769.548
-118.521,-771.448
-106.624,-772.425
-93.008,-773.175
-79.762,-775.157
-69.419,-776.402
-55.963,-775.984
-43.782,-774.763
-32.410,-776.323
-20.140,-777.239
-5.719,-776.728
5.948,-778.977
19.342,-779.259
32.079,-778.589
45.398,-780.681
57.721,-779.616
69.182,-780.941
81.000,-785.082
94.560,-786.082
107.759,-785.391
119.084,-786.536
132.947,-787.861
145.742,-786.358
158.276,-783.421
170.754,-782.331
183.408,-785.625
198.680,-786.802
211.945,-786.699
224.575,-789.687
238.976,-787.801
250.593,-786.545
266.417,-787.663
280.363,-791.035
295.498,-792.981
310.711,-793.860
324.419,-794.842
339.655,-797.155
353.680,-801.427
370.131,-800.579
385.894,-800.600
